RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport
8,Austria,Spielberg,,1971-08-15 00:00:00,Austrian Grand Prix,conventional,Practice 1,,1971-08-13 00:00:00,Practice 2,,1971-08-13 00:00:00,Practice 3,,1971-08-14 00:00:00,Qualifying,,1971-08-14 00:00:00,Race,,1971-08-15 00:00:00,False
9,Italy,Monza,,1971-09-05 00:00:00,Italian Grand Prix,conventional,Practice 1,,1971-09-03 00:00:00,Practice 2,,1971-09-03 00:00:00,Practice 3,,1971-09-04 00:00:00,Qualifying,,1971-09-04 00:00:00,Race,,1971-09-05 00:00:00,False
10,Canada,Ontario,,1971-09-19 00:00:00,Canadian Grand Prix,conventional,Practice 1,,1971-09-17 00:00:00,Practice 2,,1971-09-17 00:00:00,Practice 3,,1971-09-18 00:00:00,Qualifying,,1971-09-18 00:00:00,Race,,1971-09-19 00:00:00,False
11,USA,New York State,,1971-10-03 00:00:00,United States Grand Prix,conventional,Practice 1,,1971-10-01 00:00:00,Practice 2,,1971-10-01 00:00:00,Practice 3,,1971-10-02 00:00:00,Qualifying,,1971-10-02 00:00:00,Race,,1971-10-03 00:00:00,False
1,Argentina,Buenos Aires,,1972-01-23 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1972-01-21 00:00:00,Practice 2,,1972-01-21 00:00:00,Practice 3,,1972-01-22 00:00:00,Qualifying,,1972-01-22 00:00:00,Race,,1972-01-23 00:00:00,False
2,South Africa,Midrand,,1972-03-04 00:00:00,South African Grand Prix,conventional,Practice 1,,1972-03-02 00:00:00,Practice 2,,1972-03-02 00:00:00,Practice 3,,1972-03-03 00:00:00,Qualifying,,1972-03-03 00:00:00,Race,,1972-03-04 00:00:00,False
3,Spain,Madrid,,1972-05-01 00:00:00,Spanish Grand Prix,conventional,Practice 1,,1972-04-29 00:00:00,Practice 2,,1972-04-29 00:00:00,Practice 3,,1972-04-30 00:00:00,Qualifying,,1972-04-30 00:00:00,Race,,1972-05-01 00:00:00,False
4,Monaco,Monte-Carlo,,1972-05-14 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1972-05-12 00:00:00,Practice 2,,1972-05-12 00:00:00,Practice 3,,1972-05-13 00:00:00,Qualifying,,1972-05-13 00:00:00,Race,,1972-05-14 00:00:00,False
5,Belgium,Brussels,,1972-06-04 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1972-06-02 00:00:00,Practice 2,,1972-06-02 00:00:00,Practice 3,,1972-06-03 00:00:00,Qualifying,,1972-06-03 00:00:00,Race,,1972-06-04 00:00:00,False
6,France,Clermont-Ferrand,,1972-07-02 00:00:00,French Grand Prix,conventional,Practice 1,,1972-06-30 00:00:00,Practice 2,,1972-06-30 00:00:00,Practice 3,,1972-07-01 00:00:00,Qualifying,,1972-07-01 00:00:00,Race,,1972-07-02 00:00:00,False
7,UK,Kent,,1972-07-15 00:00:00,British Grand Prix,conventional,Practice 1,,1972-07-13 00:00:00,Practice 2,,1972-07-13 00:00:00,Practice 3,,1972-07-14 00:00:00,Qualifying,,1972-07-14 00:00:00,Race,,1972-07-15 00:00:00,False
8,Germany,Nürburg,,1972-07-30 00:00:00,German Grand Prix,conventional,Practice 1,,1972-07-28 00:00:00,Practice 2,,1972-07-28 00:00:00,Practice 3,,1972-07-29 00:00:00,Qualifying,,1972-07-29 00:00:00,Race,,1972-07-30 00:00:00,False
9,Austria,Spielberg,,1972-08-13 00:00:00,Austrian Grand Prix,conventional,Practice 1,,1972-08-11 00:00:00,Practice 2,,1972-08-11 00:00:00,Practice 3,,1972-08-12 00:00:00,Qualifying,,1972-08-12 00:00:00,Race,,1972-08-13 00:00:00,False
10,Italy,Monza,,1972-09-10 00:00:00,Italian Grand Prix,conventional,Practice 1,,1972-09-08 00:00:00,Practice 2,,1972-09-08 00:00:00,Practice 3,,1972-09-09 00:00:00,Qualifying,,1972-09-09 00:00:00,Race,,1972-09-10 00:00:00,False
11,Canada,Ontario,,1972-09-24 00:00:00,Canadian Grand Prix,conventional,Practice 1,,1972-09-22 00:00:00,Practice 2,,1972-09-22 00:00:00,Practice 3,,1972-09-23 00:00:00,Qualifying,,1972-09-23 00:00:00,Race,,1972-09-24 00:00:00,False
12,USA,New York State,,1972-10-08 00:00:00,United States Grand Prix,conventional,Practice 1,,1972-10-06 00:00:00,Practice 2,,1972-10-06 00:00:00,Practice 3,,1972-10-07 00:00:00,Qualifying,,1972-10-07 00:00:00,Race,,1972-10-08 00:00:00,False
1,Argentina,Buenos Aires,,1973-01-28 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1973-01-26 00:00:00,Practice 2,,1973-01-26 00:00:00,Practice 3,,1973-01-27 00:00:00,Qualifying,,1973-01-27 00:00:00,Race,,1973-01-28 00:00:00,False
2,Brazil,São Paulo,,1973-02-11 00:00:00,Brazilian Grand Prix,conventional,Practice 1,,1973-02-09 00:00:00,Practice 2,,1973-02-09 00:00:00,Practice 3,,1973-02-10 00:00:00,Qualifying,,1973-02-10 00:00:00,Race,,1973-02-11 00:00:00,False
3,South Africa,Midrand,,1973-03-03 00:00:00,South African Grand Prix,conventional,Practice 1,,1973-03-01 00:00:00,Practice 2,,1973-03-01 00:00:00,Practice 3,,1973-03-02 00:00:00,Qualifying,,1973-03-02 00:00:00,Race,,1973-03-03 00:00:00,False
4,Spain,Barcelona,,1973-04-29 00:00:00,Spanish Grand Prix,conventional,Practice 1,,1973-04-27 00:00:00,Practice 2,,1973-04-27 00:00:00,Practice 3,,1973-04-28 00:00:00,Qualifying,,1973-04-28 00:00:00,Race,,1973-04-29 00:00:00,False
5,Belgium,Heusden-Zolder,,1973-05-20 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1973-05-18 00:00:00,Practice 2,,1973-05-18 00:00:00,Practice 3,,1973-05-19 00:00:00,Qualifying,,1973-05-19 00:00:00,Race,,1973-05-20 00:00:00,False
6,Monaco,Monte-Carlo,,1973-06-03 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1973-06-01 00:00:00,Practice 2,,1973-06-01 00:00:00,Practice 3,,1973-06-02 00:00:00,Qualifying,,1973-06-02 00:00:00,Race,,1973-06-03 00:00:00,False
7,Sweden,Anderstorp,,1973-06-17 00:00:00,Swedish Grand Prix,conventional,Practice 1,,1973-06-15 00:00:00,Practice 2,,1973-06-15 00:00:00,Practice 3,,1973-06-16 00:00:00,Qualifying,,1973-06-16 00:00:00,Race,,1973-06-17 00:00:00,False
8,France,Le Castellet,,1973-07-01 00:00:00,French Grand Prix,conventional,Practice 1,,1973-06-29 00:00:00,Practice 2,,1973-06-29 00:00:00,Practice 3,,1973-06-30 00:00:00,Qualifying,,1973-06-30 00:00:00,Race,,1973-07-01 00:00:00,False
9,UK,Silverstone,,1973-07-14 00:00:00,British Grand Prix,conventional,Practice 1,,1973-07-12 00:00:00,Practice 2,,1973-07-12 00:00:00,Practice 3,,1973-07-13 00:00:00,Qualifying,,1973-07-13 00:00:00,Race,,1973-07-14 00:00:00,False
10,Netherlands,Zandvoort,,1973-07-29 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1973-07-27 00:00:00,Practice 2,,1973-07-27 00:00:00,Practice 3,,1973-07-28 00:00:00,Qualifying,,1973-07-28 00:00:00,Race,,1973-07-29 00:00:00,False
11,Germany,Nürburg,,1973-08-05 00:00:00,German Grand Prix,conventional,Practice 1,,1973-08-03 00:00:00,Practice 2,,1973-08-03 00:00:00,Practice 3,,1973-08-04 00:00:00,Qualifying,,1973-08-04 00:00:00,Race,,1973-08-05 00:00:00,False
12,Austria,Spielberg,,1973-08-19 00:00:00,Austrian Grand Prix,conventional,Practice 1,,1973-08-17 00:00:00,Practice 2,,1973-08-17 00:00:00,Practice 3,,1973-08-18 00:00:00,Qualifying,,1973-08-18 00:00:00,Race,,1973-08-19 00:00:00,False
13,Italy,Monza,,1973-09-09 00:00:00,Italian Grand Prix,conventional,Practice 1,,1973-09-07 00:00:00,Practice 2,,1973-09-07 00:00:00,Practice 3,,1973-09-08 00:00:00,Qualifying,,1973-09-08 00:00:00,Race,,1973-09-09 00:00:00,False
14,Canada,Ontario,,1973-09-23 00:00:00,Canadian Grand Prix,conventional,Practice 1,,1973-09-21 00:00:00,Practice 2,,1973-09-21 00:00:00,Practice 3,,1973-09-22 00:00:00,Qualifying,,1973-09-22 00:00:00,Race,,1973-09-23 00:00:00,False
15,USA,New York State,,1973-10-07 00:00:00,United States Grand Prix,conventional,Practice 1,,1973-10-05 00:00:00,Practice 2,,1973-10-05 00:00:00,Practice 3,,1973-10-06 00:00:00,Qualifying,,1973-10-06 00:00:00,Race,,1973-10-07 00:00:00,False
1,Argentina,Buenos Aires,,1974-01-13 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1974-01-11 00:00:00,Practice 2,,1974-01-11 00:00:00,Practice 3,,1974-01-12 00:00:00,Qualifying,,1974-01-12 00:00:00,Race,,1974-01-13 00:00:00,False
2,Brazil,São Paulo,,1974-01-27 00:00:00,Brazilian Grand Prix,conventional,Practice 1,,1974-01-25 00:00:00,Practice 2,,1974-01-25 00:00:00,Practice 3,,1974-01-26 00:00:00,Qualifying,,1974-01-26 00:00:00,Race,,1974-01-27 00:00:00,False
3,South Africa,Midrand,,1974-03-30 00:00:00,South African Grand Prix,conventional,Practice 1,,1974-03-28 00:00:00,Practice 2,,1974-03-28 00:00:00,Practice 3,,1974-03-29 00:00:00,Qualifying,,1974-03-29 00:00:00,Race,,1974-03-30 00:00:00,False
4,Spain,Madrid,,1974-04-28 00:00:00,Spanish Grand Prix,conventional,Practice 1,,1974-04-26 00:00:00,Practice 2,,1974-04-26 00:00:00,Practice 3,,1974-04-27 00:00:00,Qualifying,,1974-04-27 00:00:00,Race,,1974-04-28 00:00:00,False
5,Belgium,Brussels,,1974-05-12 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1974-05-10 00:00:00,Practice 2,,1974-05-10 00:00:00,Practice 3,,1974-05-11 00:00:00,Qualifying,,1974-05-11 00:00:00,Race,,1974-05-12 00:00:00,False
6,Monaco,Monte-Carlo,,1974-05-26 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1974-05-24 00:00:00,Practice 2,,1974-05-24 00:00:00,Practice 3,,1974-05-25 00:00:00,Qualifying,,1974-05-25 00:00:00,Race,,1974-05-26 00:00:00,False
7,Sweden,Anderstorp,,1974-06-09 00:00:00,Swedish Grand Prix,conventional,Practice 1,,1974-06-07 00:00:00,Practice 2,,1974-06-07 00:00:00,Practice 3,,1974-06-08 00:00:00,Qualifying,,1974-06-08 00:00:00,Race,,1974-06-09 00:00:00,False
8,Netherlands,Zandvoort,,1974-06-23 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1974-06-21 00:00:00,Practice 2,,1974-06-21 00:00:00,Practice 3,,1974-06-22 00:00:00,Qualifying,,1974-06-22 00:00:00,Race,,1974-06-23 00:00:00,False
9,France,Dijon,,1974-07-07 00:00:00,French Grand Prix,conventional,Practice 1,,1974-07-05 00:00:00,Practice 2,,1974-07-05 00:00:00,Practice 3,,1974-07-06 00:00:00,Qualifying,,1974-07-06 00:00:00,Race,,1974-07-07 00:00:00,False
10,UK,Kent,,1974-07-20 00:00:00,British Grand Prix,conventional,Practice 1,,1974-07-18 00:00:00,Practice 2,,1974-07-18 00:00:00,Practice 3,,1974-07-19 00:00:00,Qualifying,,1974-07-19 00:00:00,Race,,1974-07-20 00:00:00,False
11,Germany,Nürburg,,1974-08-04 00:00:00,German Grand Prix,conventional,Practice 1,,1974-08-02 00:00:00,Practice 2,,1974-08-02 00:00:00,Practice 3,,1974-08-03 00:00:00,Qualifying,,1974-08-03 00:00:00,Race,,1974-08-04 00:00:00,False
12,Austria,Spielberg,,1974-08-18 00:00:00,Austrian Grand Prix,conventional,Practice 1,,1974-08-16 00:00:00,Practice 2,,1974-08-16 00:00:00,Practice 3,,1974-08-17 00:00:00,Qualifying,,1974-08-17 00:00:00,Race,,1974-08-18 00:00:00,False
13,Italy,Monza,,1974-09-08 00:00:00,Italian Grand Prix,conventional,Practice 1,,1974-09-06 00:00:00,Practice 2,,1974-09-06 00:00:00,Practice 3,,1974-09-07 00:00:00,Qualifying,,1974-09-07 00:00:00,Race,,1974-09-08 00:00:00,False
14,Canada,Ontario,,1974-09-22 00:00:00,Canadian Grand Prix,conventional,Practice 1,,1974-09-20 00:00:00,Practice 2,,1974-09-20 00:00:00,Practice 3,,1974-09-21 00:00:00,Qualifying,,1974-09-21 00:00:00,Race,,1974-09-22 00:00:00,False
15,USA,New York State,,1974-10-06 00:00:00,United States Grand Prix,conventional,Practice 1,,1974-10-04 00:00:00,Practice 2,,1974-10-04 00:00:00,Practice 3,,1974-10-05 00:00:00,Qualifying,,1974-10-05 00:00:00,Race,,1974-10-06 00:00:00,False
1,Argentina,Buenos Aires,,1975-01-12 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1975-01-10 00:00:00,Practice 2,,1975-01-10 00:00:00,Practice 3,,1975-01-11 00:00:00,Qualifying,,1975-01-11 00:00:00,Race,,1975-01-12 00:00:00,False
2,Brazil,São Paulo,,1975-01-26 00:00:00,Brazilian Grand Prix,conventional,Practice 1,,1975-01-24 00:00:00,Practice 2,,1975-01-24 00:00:00,Practice 3,,1975-01-25 00:00:00,Qualifying,,1975-01-25 00:00:00,Race,,1975-01-26 00:00:00,False
3,South Africa,Midrand,,1975-03-01 00:00:00,South African Grand Prix,conventional,Practice 1,,1975-02-27 00:00:00,Practice 2,,1975-02-27 00:00:00,Practice 3,,1975-02-28 00:00:00,Qualifying,,1975-02-28 00:00:00,Race,,1975-03-01 00:00:00,False
4,Spain,Barcelona,,1975-04-27 00:00:00,Spanish Grand Prix,conventional,Practice 1,,1975-04-25 00:00:00,Practice 2,,1975-04-25 00:00:00,Practice 3,,1975-04-26 00:00:00,Qualifying,,1975-04-26 00:00:00,Race,,1975-04-27 00:00:00,False
5,Monaco,Monte-Carlo,,1975-05-11 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1975-05-09 00:00:00,Practice 2,,1975-05-09 00:00:00,Practice 3,,1975-05-10 00:00:00,Qualifying,,1975-05-10 00:00:00,Race,,1975-05-11 00:00:00,False
6,Belgium,Heusden-Zolder,,1975-05-25 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1975-05-23 00:00:00,Practice 2,,1975-05-23 00:00:00,Practice 3,,1975-05-24 00:00:00,Qualifying,,1975-05-24 00:00:00,Race,,1975-05-25 00:00:00,False
7,Sweden,Anderstorp,,1975-06-08 00:00:00,Swedish Grand Prix,conventional,Practice 1,,1975-06-06 00:00:00,Practice 2,,1975-06-06 00:00:00,Practice 3,,1975-06-07 00:00:00,Qualifying,,1975-06-07 00:00:00,Race,,1975-06-08 00:00:00,False
8,Netherlands,Zandvoort,,1975-06-22 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1975-06-20 00:00:00,Practice 2,,1975-06-20 00:00:00,Practice 3,,1975-06-21 00:00:00,Qualifying,,1975-06-21 00:00:00,Race,,1975-06-22 00:00:00,False
9,France,Le Castellet,,1975-07-06 00:00:00,French Grand Prix,conventional,Practice 1,,1975-07-04 00:00:00,Practice 2,,1975-07-04 00:00:00,Practice 3,,1975-07-05 00:00:00,Qualifying,,1975-07-05 00:00:00,Race,,1975-07-06 00:00:00,False
10,UK,Silverstone,,1975-07-19 00:00:00,British Grand Prix,conventional,Practice 1,,1975-07-17 00:00:00,Practice 2,,1975-07-17 00:00:00,Practice 3,,1975-07-18 00:00:00,Qualifying,,1975-07-18 00:00:00,Race,,1975-07-19 00:00:00,False
11,Germany,Nürburg,,1975-08-03 00:00:00,German Grand Prix,conventional,Practice 1,,1975-08-01 00:00:00,Practice 2,,1975-08-01 00:00:00,Practice 3,,1975-08-02 00:00:00,Qualifying,,1975-08-02 00:00:00,Race,,1975-08-03 00:00:00,False
12,Austria,Spielberg,,1975-08-17 00:00:00,Austrian Grand Prix,conventional,Practice 1,,1975-08-15 00:00:00,Practice 2,,1975-08-15 00:00:00,Practice 3,,1975-08-16 00:00:00,Qualifying,,1975-08-16 00:00:00,Race,,1975-08-17 00:00:00,False
13,Italy,Monza,,1975-09-07 00:00:00,Italian Grand Prix,conventional,Practice 1,,1975-09-05 00:00:00,Practice 2,,1975-09-05 00:00:00,Practice 3,,1975-09-06 00:00:00,Qualifying,,1975-09-06 00:00:00,Race,,1975-09-07 00:00:00,False
14,USA,New York State,,1975-10-05 00:00:00,United States Grand Prix,conventional,Practice 1,,1975-10-03 00:00:00,Practice 2,,1975-10-03 00:00:00,Practice 3,,1975-10-04 00:00:00,Qualifying,,1975-10-04 00:00:00,Race,,1975-10-05 00:00:00,False
1,Brazil,São Paulo,,1976-01-25 00:00:00,Brazilian Grand Prix,conventional,Practice 1,,1976-01-23 00:00:00,Practice 2,,1976-01-23 00:00:00,Practice 3,,1976-01-24 00:00:00,Qualifying,,1976-01-24 00:00:00,Race,,1976-01-25 00:00:00,False
2,South Africa,Midrand,,1976-03-06 00:00:00,South African Grand Prix,conventional,Practice 1,,1976-03-04 00:00:00,Practice 2,,1976-03-04 00:00:00,Practice 3,,1976-03-05 00:00:00,Qualifying,,1976-03-05 00:00:00,Race,,1976-03-06 00:00:00,False
3,USA,California,,1976-03-28 00:00:00,United States Grand Prix West,conventional,Practice 1,,1976-03-26 00:00:00,Practice 2,,1976-03-26 00:00:00,Practice 3,,1976-03-27 00:00:00,Qualifying,,1976-03-27 00:00:00,Race,,1976-03-28 00:00:00,False
4,Spain,Madrid,,1976-05-02 00:00:00,Spanish Grand Prix,conventional,Practice 1,,1976-04-30 00:00:00,Practice 2,,1976-04-30 00:00:00,Practice 3,,1976-05-01 00:00:00,Qualifying,,1976-05-01 00:00:00,Race,,1976-05-02 00:00:00,False
5,Belgium,Heusden-Zolder,,1976-05-16 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1976-05-14 00:00:00,Practice 2,,1976-05-14 00:00:00,Practice 3,,1976-05-15 00:00:00,Qualifying,,1976-05-15 00:00:00,Race,,1976-05-16 00:00:00,False
6,Monaco,Monte-Carlo,,1976-05-30 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1976-05-28 00:00:00,Practice 2,,1976-05-28 00:00:00,Practice 3,,1976-05-29 00:00:00,Qualifying,,1976-05-29 00:00:00,Race,,1976-05-30 00:00:00,False
7,Sweden,Anderstorp,,1976-06-13 00:00:00,Swedish Grand Prix,conventional,Practice 1,,1976-06-11 00:00:00,Practice 2,,1976-06-11 00:00:00,Practice 3,,1976-06-12 00:00:00,Qualifying,,1976-06-12 00:00:00,Race,,1976-06-13 00:00:00,False
8,France,Le Castellet,,1976-07-04 00:00:00,French Grand Prix,conventional,Practice 1,,1976-07-02 00:00:00,Practice 2,,1976-07-02 00:00:00,Practice 3,,1976-07-03 00:00:00,Qualifying,,1976-07-03 00:00:00,Race,,1976-07-04 00:00:00,False
9,UK,Kent,,1976-07-18 00:00:00,British Grand Prix,conventional,Practice 1,,1976-07-16 00:00:00,Practice 2,,1976-07-16 00:00:00,Practice 3,,1976-07-17 00:00:00,Qualifying,,1976-07-17 00:00:00,Race,,1976-07-18 00:00:00,False
10,Germany,Nürburg,,1976-08-01 00:00:00,German Grand Prix,conventional,Practice 1,,1976-07-30 00:00:00,Practice 2,,1976-07-30 00:00:00,Practice 3,,1976-07-31 00:00:00,Qualifying,,1976-07-31 00:00:00,Race,,1976-08-01 00:00:00,False
11,Austria,Spielberg,,1976-08-15 00:00:00,Austrian Grand Prix,conventional,Practice 1,,1976-08-13 00:00:00,Practice 2,,1976-08-13 00:00:00,Practice 3,,1976-08-14 00:00:00,Qualifying,,1976-08-14 00:00:00,Race,,1976-08-15 00:00:00,False
12,Netherlands,Zandvoort,,1976-08-29 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1976-08-27 00:00:00,Practice 2,,1976-08-27 00:00:00,Practice 3,,1976-08-28 00:00:00,Qualifying,,1976-08-28 00:00:00,Race,,1976-08-29 00:00:00,False
13,Italy,Monza,,1976-09-12 00:00:00,Italian Grand Prix,conventional,Practice 1,,1976-09-10 00:00:00,Practice 2,,1976-09-10 00:00:00,Practice 3,,1976-09-11 00:00:00,Qualifying,,1976-09-11 00:00:00,Race,,1976-09-12 00:00:00,False
14,Canada,Ontario,,1976-10-03 00:00:00,Canadian Grand Prix,conventional,Practice 1,,1976-10-01 00:00:00,Practice 2,,1976-10-01 00:00:00,Practice 3,,1976-10-02 00:00:00,Qualifying,,1976-10-02 00:00:00,Race,,1976-10-03 00:00:00,False
15,USA,New York State,,1976-10-10 00:00:00,United States Grand Prix,conventional,Practice 1,,1976-10-08 00:00:00,Practice 2,,1976-10-08 00:00:00,Practice 3,,1976-10-09 00:00:00,Qualifying,,1976-10-09 00:00:00,Race,,1976-10-10 00:00:00,False
16,Japan,Oyama,,1976-10-24 00:00:00,Japanese Grand Prix,conventional,Practice 1,,1976-10-22 00:00:00,Practice 2,,1976-10-22 00:00:00,Practice 3,,1976-10-23 00:00:00,Qualifying,,1976-10-23 00:00:00,Race,,1976-10-24 00:00:00,False
1,Argentina,Buenos Aires,,1977-01-09 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1977-01-07 00:00:00,Practice 2,,1977-01-07 00:00:00,Practice 3,,1977-01-08 00:00:00,Qualifying,,1977-01-08 00:00:00,Race,,1977-01-09 00:00:00,False
2,Brazil,São Paulo,,1977-01-23 00:00:00,Brazilian Grand Prix,conventional,Practice 1,,1977-01-21 00:00:00,Practice 2,,1977-01-21 00:00:00,Practice 3,,1977-01-22 00:00:00,Qualifying,,1977-01-22 00:00:00,Race,,1977-01-23 00:00:00,False
3,South Africa,Midrand,,1977-03-05 00:00:00,South African Grand Prix,conventional,Practice 1,,1977-03-03 00:00:00,Practice 2,,1977-03-03 00:00:00,Practice 3,,1977-03-04 00:00:00,Qualifying,,1977-03-04 00:00:00,Race,,1977-03-05 00:00:00,False
4,USA,California,,1977-04-03 00:00:00,United States Grand Prix West,conventional,Practice 1,,1977-04-01 00:00:00,Practice 2,,1977-04-01 00:00:00,Practice 3,,1977-04-02 00:00:00,Qualifying,,1977-04-02 00:00:00,Race,,1977-04-03 00:00:00,False
5,Spain,Madrid,,1977-05-08 00:00:00,Spanish Grand Prix,conventional,Practice 1,,1977-05-06 00:00:00,Practice 2,,1977-05-06 00:00:00,Practice 3,,1977-05-07 00:00:00,Qualifying,,1977-05-07 00:00:00,Race,,1977-05-08 00:00:00,False
6,Monaco,Monte-Carlo,,1977-05-22 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1977-05-20 00:00:00,Practice 2,,1977-05-20 00:00:00,Practice 3,,1977-05-21 00:00:00,Qualifying,,1977-05-21 00:00:00,Race,,1977-05-22 00:00:00,False
7,Belgium,Heusden-Zolder,,1977-06-05 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1977-06-03 00:00:00,Practice 2,,1977-06-03 00:00:00,Practice 3,,1977-06-04 00:00:00,Qualifying,,1977-06-04 00:00:00,Race,,1977-06-05 00:00:00,False
8,Sweden,Anderstorp,,1977-06-19 00:00:00,Swedish Grand Prix,conventional,Practice 1,,1977-06-17 00:00:00,Practice 2,,1977-06-17 00:00:00,Practice 3,,1977-06-18 00:00:00,Qualifying,,1977-06-18 00:00:00,Race,,1977-06-19 00:00:00,False
9,France,Dijon,,1977-07-03 00:00:00,French Grand Prix,conventional,Practice 1,,1977-07-01 00:00:00,Practice 2,,1977-07-01 00:00:00,Practice 3,,1977-07-02 00:00:00,Qualifying,,1977-07-02 00:00:00,Race,,1977-07-03 00:00:00,False
10,UK,Silverstone,,1977-07-16 00:00:00,British Grand Prix,conventional,Practice 1,,1977-07-14 00:00:00,Practice 2,,1977-07-14 00:00:00,Practice 3,,1977-07-15 00:00:00,Qualifying,,1977-07-15 00:00:00,Race,,1977-07-16 00:00:00,False
11,Germany,Hockenheim,,1977-07-31 00:00:00,German Grand Prix,conventional,Practice 1,,1977-07-29 00:00:00,Practice 2,,1977-07-29 00:00:00,Practice 3,,1977-07-30 00:00:00,Qualifying,,1977-07-30 00:00:00,Race,,1977-07-31 00:00:00,False
12,Austria,Spielberg,,1977-08-14 00:00:00,Austrian Grand Prix,conventional,Practice 1,,1977-08-12 00:00:00,Practice 2,,1977-08-12 00:00:00,Practice 3,,1977-08-13 00:00:00,Qualifying,,1977-08-13 00:00:00,Race,,1977-08-14 00:00:00,False
13,Netherlands,Zandvoort,,1977-08-28 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1977-08-26 00:00:00,Practice 2,,1977-08-26 00:00:00,Practice 3,,1977-08-27 00:00:00,Qualifying,,1977-08-27 00:00:00,Race,,1977-08-28 00:00:00,False
14,Italy,Monza,,1977-09-11 00:00:00,Italian Grand Prix,conventional,Practice 1,,1977-09-09 00:00:00,Practice 2,,1977-09-09 00:00:00,Practice 3,,1977-09-10 00:00:00,Qualifying,,1977-09-10 00:00:00,Race,,1977-09-11 00:00:00,False
15,USA,New York State,,1977-10-02 00:00:00,United States Grand Prix,conventional,Practice 1,,1977-09-30 00:00:00,Practice 2,,1977-09-30 00:00:00,Practice 3,,1977-10-01 00:00:00,Qualifying,,1977-10-01 00:00:00,Race,,1977-10-02 00:00:00,False
16,Canada,Ontario,,1977-10-09 00:00:00,Canadian Grand Prix,conventional,Practice 1,,1977-10-07 00:00:00,Practice 2,,1977-10-07 00:00:00,Practice 3,,1977-10-08 00:00:00,Qualifying,,1977-10-08 00:00:00,Race,,1977-10-09 00:00:00,False
17,Japan,Oyama,,1977-10-23 00:00:00,Japanese Grand Prix,conventional,Practice 1,,1977-10-21 00:00:00,Practice 2,,1977-10-21 00:00:00,Practice 3,,1977-10-22 00:00:00,Qualifying,,1977-10-22 00:00:00,Race,,1977-10-23 00:00:00,False
1,Argentina,Buenos Aires,,1978-01-15 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1978-01-13 00:00:00,Practice 2,,1978-01-13 00:00:00,Practice 3,,1978-01-14 00:00:00,Qualifying,,1978-01-14 00:00:00,Race,,1978-01-15 00:00:00,False
2,Brazil,Rio de Janeiro,,1978-01-29 00:00:00,Brazilian Grand Prix,conventional,Practice 1,,1978-01-27 00:00:00,Practice 2,,1978-01-27 00:00:00,Practice 3,,1978-01-28 00:00:00,Qualifying,,1978-01-28 00:00:00,Race,,1978-01-29 00:00:00,False
3,South Africa,Midrand,,1978-03-04 00:00:00,South African Grand Prix,conventional,Practice 1,,1978-03-02 00:00:00,Practice 2,,1978-03-02 00:00:00,Practice 3,,1978-03-03 00:00:00,Qualifying,,1978-03-03 00:00:00,Race,,1978-03-04 00:00:00,False
4,USA,California,,1978-04-02 00:00:00,United States Grand Prix West,conventional,Practice 1,,1978-03-31 00:00:00,Practice 2,,1978-03-31 00:00:00,Practice 3,,1978-04-01 00:00:00,Qualifying,,1978-04-01 00:00:00,Race,,1978-04-02 00:00:00,False
5,Monaco,Monte-Carlo,,1978-05-07 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1978-05-05 00:00:00,Practice 2,,1978-05-05 00:00:00,Practice 3,,1978-05-06 00:00:00,Qualifying,,1978-05-06 00:00:00,Race,,1978-05-07 00:00:00,False
6,Belgium,Heusden-Zolder,,1978-05-21 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1978-05-19 00:00:00,Practice 2,,1978-05-19 00:00:00,Practice 3,,1978-05-20 00:00:00,Qualifying,,1978-05-20 00:00:00,Race,,1978-05-21 00:00:00,False
