RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport
8,Italy,Monza,,1952-09-07 00:00:00,Italian Grand Prix,conventional,Practice 1,,1952-09-05 00:00:00,Practice 2,,1952-09-05 00:00:00,Practice 3,,1952-09-06 00:00:00,Qualifying,,1952-09-06 00:00:00,Race,,1952-09-07 00:00:00,False
1,Argentina,Buenos Aires,,1953-01-18 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1953-01-16 00:00:00,Practice 2,,1953-01-16 00:00:00,Practice 3,,1953-01-17 00:00:00,Qualifying,,1953-01-17 00:00:00,Race,,1953-01-18 00:00:00,False
2,USA,Indianapolis,,1953-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1953-05-28 00:00:00,Practice 2,,1953-05-28 00:00:00,Practice 3,,1953-05-29 00:00:00,Qualifying,,1953-05-29 00:00:00,Race,,1953-05-30 00:00:00,False
3,Netherlands,Zandvoort,,1953-06-07 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1953-06-05 00:00:00,Practice 2,,1953-06-05 00:00:00,Practice 3,,1953-06-06 00:00:00,Qualifying,,1953-06-06 00:00:00,Race,,1953-06-07 00:00:00,False
4,Belgium,Spa,,1953-06-21 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1953-06-19 00:00:00,Practice 2,,1953-06-19 00:00:00,Practice 3,,1953-06-20 00:00:00,Qualifying,,1953-06-20 00:00:00,Race,,1953-06-21 00:00:00,False
5,France,Reims,,1953-07-05 00:00:00,French Grand Prix,conventional,Practice 1,,1953-07-03 00:00:00,Practice 2,,1953-07-03 00:00:00,Practice 3,,1953-07-04 00:00:00,Qualifying,,1953-07-04 00:00:00,Race,,1953-07-05 00:00:00,False
6,UK,Silverstone,,1953-07-18 00:00:00,British Grand Prix,conventional,Practice 1,,1953-07-16 00:00:00,Practice 2,,1953-07-16 00:00:00,Practice 3,,1953-07-17 00:00:00,Qualifying,,1953-07-17 00:00:00,Race,,1953-07-18 00:00:00,False
7,Germany,Nürburg,,1953-08-02 00:00:00,German Grand Prix,conventional,Practice 1,,1953-07-31 00:00:00,Practice 2,,1953-07-31 00:00:00,Practice 3,,1953-08-01 00:00:00,Qualifying,,1953-08-01 00:00:00,Race,,1953-08-02 00:00:00,False
8,Switzerland,Bern,,1953-08-23 00:00:00,Swiss Grand Prix,conventional,Practice 1,,1953-08-21 00:00:00,Practice 2,,1953-08-21 00:00:00,Practice 3,,1953-08-22 00:00:00,Qualifying,,1953-08-22 00:00:00,Race,,1953-08-23 00:00:00,False
9,Italy,Monza,,1953-09-13 00:00:00,Italian Grand Prix,conventional,Practice 1,,1953-09-11 00:00:00,Practice 2,,1953-09-11 00:00:00,Practice 3,,1953-09-12 00:00:00,Qualifying,,1953-09-12 00:00:00,Race,,1953-09-13 00:00:00,False
